Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
GBR;GBR000C20769;;MOD;2019-11-05;2020-12-30;C20769;H125;SIWREN;H;Hull;2JLW8;Y;Y;Y;Y;;N;;FX;FPO;NK;;;;;12.49;11.93;15.63;0.00;0.00;338.00;0.00;3;2016-01-29;MFL;;;PA;1998-01-01
GBR;GBR000C20773;;MOD;2020-06-10;2020-08-23;C20773;CY160;AVOCET;CY;Castlebay;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.64;5.64;1.25;0.00;0.00;30.00;0.00;3;2016-07-26;MFL;;;PA;1991-01-01
GBR;GBR000C20774;;CHA;2016-07-12;2020-12-30;C20774;SY420;BOY GORDON;SY;Stornoway;;N;N;N;;;;;FX;FPO;NO;;;;;6.30;0.00;1.40;0.00;0.00;18.65;0.00;3;2016-07-12;MFL;;;;2005-01-01
GBR;GBR000C20775;;MOD;2016-07-21;2020-12-30;C20775;LA653;OUTCAST;LA;Llanelli;;N;Y;N;;;;;FX;LHP;NO;;;;;6.90;0.00;1.56;0.00;0.00;117.00;0.00;3;2016-01-22;MFL;;;;2015-01-01
GBR;GBR000C20776;;MOD;2016-03-17;2020-12-30;C20776;SY144;LEAD US;SY;Stornoway;;N;Y;N;;;;;FX;FPO;NO;;;;;10.71;0.00;9.34;0.00;0.00;300.00;0.00;3;2015-12-24;MFL;;;;2015-01-01
GBR;GBR000C20777;8684462;MOD;2019-08-14;2020-12-22;C20777;N82;HARVEST DAWN;N;Newry;MCIE3;Y;Y;Y;Y;;N;;FX;OTB;NK;;;;;20.60;18.06;139.00;0.00;0.00;426.00;0.00;2;2016-10-04;MFL;;;PA;1992-01-01
GBR;GBR000C20778;;MOD;2019-11-19;2020-11-02;C20778;PE29;SUNRISE;PE;Poole;;N;Y;N;N;;N;;FX;GN;NK;MIS;DRB;;;6.35;6.35;1.09;0.00;0.00;18.65;0.00;3;2016-03-29;MFL;;;PA;2015-01-01
GBR;GBR000C20781;;MOD;2020-07-13;2020-12-30;C20781;LH26;BONNIE LASS III;LH;Leith;;N;Y;N;N;;N;;FX;FPO;NK;;;;;8.40;7.91;6.74;0.00;0.00;96.00;0.00;3;2016-04-21;MFL;;;PA;2002-01-01
GBR;GBR000C20783;;MOD;2016-08-15;2020-12-30;C20783;F4;LE AIMEE;F;Faversham;;N;Y;N;N;;N;;FX;FPO;GND;FPO;GN;;;6.95;6.95;2.25;0.00;0.00;74.00;0.00;3;2016-02-26;MFL;;;PA;2015-01-01
GBR;GBR000C20784;;MOD;2020-05-27;2020-12-30;C20784;M658;HOPE;M;Milford Haven;;N;Y;N;N;;N;;FX;LX;GN;LL;OTB;;;4.70;4.70;0.95;0.00;0.00;11.19;0.00;3;2016-05-06;MFL;;;PA;2004-01-01
