3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
hfd,NA,NA,NA,NA,NA,NA,NA,NA,NA,pelagic butterfish
hvu,NA,NA,NA,NA,NA,NA,NA,NA,NA,cornish blackfish
hdv,imperial blackfish,schedophilus ovalis,schedophilus,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,imperial blackfish
hdw,pemarco blackfish,schedophilus pemarco,schedophilus,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,pemarco blackfish
sey,violet warehou,schedophilus velaini,schedophilus,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,violet warehou
sxe,NA,NA,NA,NA,NA,NA,NA,NA,NA,schedophilus nei
sem,common warehou,seriolella brama,seriolella,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,common warehou
seu,white warehou,seriolella caerulea,seriolella,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,white warehou
seo,choicy ruff,seriolella porosa,seriolella,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,choicy ruff
sep,silver warehou,seriolella punctata,seriolella,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,silver warehou
sei,NA,NA,NA,NA,NA,NA,NA,NA,NA,palm ruff
bsp,warehou nei,seriolella spp,seriolella,centrolophidae,pisces,miscellaneous demersal fishes,warehou,yes,en_name,warehou nei
tut,NA,NA,NA,NA,NA,NA,NA,NA,NA,tasmanian ruffe
cen,"ruffs, barrelfishes nei",centrolophidae,centrolophidae,centrolophidae,pisces,miscellaneous demersal fishes,"ruffs, barrelfishes",yes,en_name,"ruffs, barrelfishes nei"
imb,NA,NA,NA,NA,NA,NA,NA,NA,NA,silver-rag driftfish
dri,indian driftfish,ariomma indica,ariomma,ariommatidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,indian driftfish
drf,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown driftfish
drk,NA,NA,NA,NA,NA,NA,NA,NA,NA,ariommatids nei
icn,NA,NA,NA,NA,NA,NA,NA,NA,NA,ragfish
cvn,NA,NA,NA,NA,NA,NA,NA,NA,NA,black swallower
