dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,ESP,Set longline,519.6470488888888,224019420,ABRA DE MUXIA,3b6d23126-65d4-beb9-633d-fc406fe9557c,FISHING,519.6470488888888,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fishing,515.3733333333332,224070000,AITA FRAXKU,d294eb77f-f23e-e659-0ca3-5e08b2801b08,FISHING,515.3733333333332,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,514.1837300000001,224086790,F/V IZASKUN BERRIA,1d8e0e550-0c69-be26-5e11-c1c4b8ba998b,FISHING,514.1837300000001,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Dredge fishing,513.7627777777778,224907820,URREBURU PRIMERO,b6cdf3497-7cbe-87ed-204d-b528d711d524,FISHING,513.7627777777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,513.0877777777779,224086780,F/V AZKOITIA,06c7478ce-e684-e8e8-8f44-ac6e07c13416,FISHING,513.0877777777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,512.3151588888888,227436000,F/V LE BARON,afa9889ba-ab6d-eee9-b80c-7a3f24fa0b49,FISHING,512.3151588888888,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Trawler,510.8098738888889,224181000,GURE KANTABRIKO,4a0f40952-2972-9f0f-6689-81bf1bcbaafd,FISHING,510.8098738888889,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,504.8037127777778,224627380,PLAYA DEL ASTILLERU,e2781bbbc-c6e8-3144-9d04-003666e5b622,FISHING,504.8037127777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,495.35944444444436,224050450,BORRASCA PRIMERO,af81c1e30-0066-42fd-cd4d-1c4a42f439e9,FISHING,495.35944444444436,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,494.66694444444454,228428700,F/V KITTARA II,80b8502bb-be46-f6bb-c528-108d817ee090,FISHING,494.66694444444454,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,493.51077833333346,224175430,ADVIENTO UNO,145876a6e-e741-d4e7-67c9-0e7be0ff33b7,FISHING,493.51077833333346,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set longline,492.1125083333332,228394000,F/V KEROULAN,cc4015224-4b35-2109-cb93-54095f0588a2,FISHING,492.1125083333332,public-global-fishing-effort:v3.0,France
