year,fao_landing_c_name,iso3_code,fao_area_code,spp_alpha,landings_spc_area,fao_land_id,fishery_name,fishery_id,gear,depth,location,vessel_length,catch_norm,catch_fishery_area_spc
2023,Spain,ESP,27,cdx,0.0323974082073434,793,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0323974082073434
2023,Spain,ESP,27,cgx,0.454665226781858,797,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.454665226781858
2023,Spain,ESP,27,clu,0.0971922246220302,800,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0971922246220302
2023,Spain,ESP,27,clx,4.092872570194388,802,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,4.092872570194388
2023,Spain,ESP,27,crw,0.00269978401727862,812,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2023,Spain,ESP,27,ctg,1.6792656587473,816,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,1.6792656587473
2023,Spain,ESP,27,cut,0.0863930885529158,819,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0863930885529158
2023,Spain,ESP,27,dcp,0.0134989200863931,823,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0134989200863931
2023,Spain,ESP,27,dgx,0.0863930885529158,829,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0863930885529158
2023,Spain,ESP,27,don,0.00269978401727862,831,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2023,Spain,ESP,27,ele,0.531857451403888,834,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.531857451403888
2023,Spain,ESP,27,eqi,6.31749460043197,837,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,6.31749460043197
2023,Spain,ESP,27,gad,0.0188984881209503,839,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0188984881209503
2023,Spain,ESP,27,gas,0.215982721382289,842,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.215982721382289
2023,Spain,ESP,27,gep,0.296997840172786,846,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.296997840172786
2023,Spain,ESP,27,gpa,0.0512958963282937,849,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0512958963282937
2023,Spain,ESP,27,gpd,1.06481641468683,850,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,1.06481641468683
2023,Spain,ESP,27,gro,0.145788336933045,851,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.145788336933045
2023,Spain,ESP,27,grx,0.0161987041036717,852,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0161987041036717
2023,Spain,ESP,27,hkw,0.0161987041036717,862,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0161987041036717
2023,Spain,ESP,27,hmm,128.236803455724,863,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,128.236803455724
2023,Spain,ESP,27,hom,473.856090712743,864,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,473.856090712743
2023,Spain,ESP,27,inv,0.118790496760259,868,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.118790496760259
